Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
06/13/2021,28,5,5,5,3,10,4,3,2,1,0,0,18,10,0,5,0,17,3,0,3,0,0,2,0,2,1,0,0,0,0,5,0,3,0,1,1,0,0,0,2,1,0,1,1,0,0,0,5,0,0,2,0,2,1,0,0
04/12/2022,530,0,15,57,180,123,57,49,32,22,10,0,324,206,0,74,53,55,233,37,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,4,3,0,7,8,0,4,1,3,6,1,0
10/14/2022,346,3,25,57,57,59,43,50,35,25,20,0,203,143,0,79,18,97,93,16,43,0,0,0,0,0,2,0,1,0,3,0,0,0,0,2,1,0,0,1,3,2,3,2,3,9,2,0,18,7,0,8,0,9,8,0,0
04/25/2020,638,38,115,32,122,120,135,107,67,31,24,0,313,325,0,344,14,114,89,16,61,0,0,2,1,6,6,11,12,0,14,24,0,12,2,19,5,0,0,0,5,10,12,25,29,19,15,0,52,63,0,46,2,42,19,6,0
10/21/2020,1180,6,58,116,380,246,176,130,84,32,16,0,612,568,0,447,30,182,359,58,104,0,0,0,0,0,0,0,6,0,4,2,0,2,0,1,2,1,0,2,3,9,6,8,17,8,5,0,28,30,0,18,0,25,13,2,0
02/01/2023,467,0,20,195,66,57,49,31,42,16,11,0,243,222,2,151,20,172,78,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,3,4,7,0,9,11,0,4,2,7,6,1,0
07/09/2021,82,1,7,13,20,25,12,5,4,2,1,0,39,43,0,19,1,23,22,3,14,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,1,2,1,0,0,1,0,4,3,0,3,0,1,3,0,0
06/30/2021,51,0,6,11,12,10,9,3,3,3,0,0,20,31,0,16,2,12,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,5,0,1,0,4,0,0,1
10/25/2022,514,2,35,78,61,90,81,68,66,44,26,0,292,220,2,120,26,157,136,24,51,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,3,5,3,9,6,7,0,17,18,0,7,1,11,15,1,0
03/31/2020,489,16,160,5,57,104,97,91,69,39,27,0,261,228,0,113,20,228,85,14,29,0,0,0,4,1,0,5,6,0,6,10,0,2,0,14,0,0,0,2,7,16,25,33,30,26,21,0,71,89,0,30,3,104,18,4,1
